WO_CHECKED_IN_DT_KEY,WO_ENTERED_DT_KEY,SCHEDULE_INSTALL_DT_KEY,CUSTOMER_KEY,SITE_ID,SITE_DESC,ACCOUNT_NBR,WO_NBR,PRODUCT_CD,PRODUCT_DESC,PRODUCT_LINE_DESC,PRODUCT_GROUP_CD,PRODUCT_GROUP_DESC,WO_TYPE_CD,WO_TYPE_DESC,OUTLET_TYPE,OFFICE_ONLY_FLAG,Q_CD,Q_CD_DESC,SALES_CHANNEL_GROUP_DESC,WO_OCCURRENCE_NBR,FROM_QTY,TO_QTY,NET_QTY,POINTS_COMPLETED,CONNECTS,DISCONNECTS,SELF_INSTALL,ASSISTED_SELF_INSTALLS,ASSIGNED_INSTALLER_NBR,SALESMAN_NBR,USER_ID,REQUIRED_POINTSTOCABLE_SVC,REQUIRED_TOTAL_POINTS,TOTAL_POINTS_COMPLETED,WO_JOB_NBR,SERVICE_TYPE,CATEGORY,SERVICE_CATEGORY_CD,CHECK_IN_USER_ID,SERVICE_POINTS,DROP_POINTS,HOUSE_PRE_WIRE_POINTS,DROP_REPLACE_POINTS,HOUSE_DWELLING_POINTS,SIGNAL_ACCESS_POINTS,TIME_ASSIGNED_HH_MM,TIME_SLOT_DESC,ARRIVAL_TIME,SYSTEM_COMPLETION_TM,Advanced Bulk HD Receiver,Aerial Install Drop New,Business TV Activate Outlet(wired),Business TV Bulk Specialty Install,Business TV Equipment Pick Up,Commercial Install Trap,Commercial Serviceability Visit,Commercial Shipping & Handling,Conduit Installation,Construction Costs,Direct Connect IR Cable,Prework,Prism IR Extender,RG11 Install Drop (All),Standard IR Extender,Video Bulk Specialty Staging,VoD Retransmission,Wall Fish,Bulk HD medical Remote Ctrl Integ,Business TV Contour Install No Net,Business TV Expedite Installation,Business TV Install/Add Outlet(Unwired),Business Vid Account Changes,CLI Leakage Order,COX BUSINESS BUNDLE,Digital Adapter Mounting Bracket,Digital Adapter RF Interface,INSTALL DROP (COMMERCIAL),Proactive Receiver Swap,Replacement Digital Adapter IR Rmt,Video Time & Materials - Standard,vuCaster Config Adv HD Receiver,Aerial Install Drop Rebuild,Bulk HD Medical PSI Config,Business TV Contour Install Net,Business TV Dig Self-Install Kit,Business TV Install Outlet(New),Business TV Receiver Install,Business TV Reinstate Service,Business Vid Install (Aerial),CB Showtime Additional Outlet,CB Starz Additional Outlet,Comm Outside only request,Commercial Tech Assist,Digital Starter,Fiber Conversion,Underground Install Drop New,Video Bulk Specialty Pre-Install,Advanced Bulk HD Install,Advanced Bulk HD Receiver Installation,Bulk HD Medical Interface,Business TV Equipment Self Activation,Business TV Rework/Relocate Install,CBS Service Deposit,Chargeable Service Call,CONTOUR Failed Self Install,DTA Failed Self Install,Interior Molding,Underground Install Drop Rebuild
20180619,20180614,20180619,107430400,333,Orange County,53160502,44457297,80010,Underground Install Drop New,OTC - All,1104,Business TV - All,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,6,1,0,0,0,17527,25623,FDELGADO,3,40,40,3,S,S,C,ETSCSWAP,32,0,0,0,3,2,431,10-12P,1103,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20180629,20180618,20180629,107453603,333,Orange County,60449301,44476611,HFIBER,IP PRI Delivered on Fiber,Feature - PRI Broadsoft,5110,Business PRI Service,IN,Install,A,N,R,Cb Hicap,Cox Business,13,0,1,1,0,1,0,0,0,84246,11323,MSUAREZ,3,73,73,1, ,X,T,ETSCSWAP,65,0,0,0,3,2,359,10-12P,1015,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180629,20180618,20180629,107453603,333,Orange County,60449301,44476611,BNONPUB,DIRECTORY LISTING-NON PUBLISHED,Directory Service,5105,Business Directory Listings,IN,Install,A,N,R,Cb Hicap,Cox Business,16,0,1,1,0,1,0,0,0,84246,11323,MSUAREZ,3,73,73,1, ,X,T,ETSCSWAP,65,0,0,0,3,2,359,10-12P,1015,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180627,20180619,20180627,79294093,333,Orange County,55437201,44480386,27329,Business TV Bonus Pak,Advanced Paks - Retail,1100,Business TV - Retail,UP,Upgrade,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,31072,31016,BBURDIC,3,45,45,9, ,O,C,ETSCSWAP,42,0,0,0,0,0,632,10-12P,1113,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180628,20180620,20180628,107466227,333,Orange County,23775703,44486878,HXFL,IP Centrex  Flat Rate Line,Feature - IPC Broadsoft,5108,Business IP Centrex,IN,Install,A,N,R,Cb Hicap,Cox Business,10,0,1,1,0,1,0,0,0,84224,31071,KADARE,3,58,58,2, ,O,T,ETSCSWAP,50,0,0,0,3,2,840,3-5P,1751,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180627,20180626,20180627,107508274,333,Orange County,60465201,44519499,40202,Static IP Address,CBI Feature - IP Address,2108,IP Addresses,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,72105,31016,FDELGADO,3,24,24,4, ,X,D,ETSCSWAP,16,0,0,0,3,2,624,1-3P,1255,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180629,20180626,20180629,107512149,333,Orange County,60465901,44522298,BWALFSH,Telephony Wall Fish,Installation - DMS,5102,Business Analog Voice Service,IN,Install,P,N,W,Cb Installs,Unknown,1,0,2,2,6,1,0,0,0,72509,35448,JENNBURK,3,52,52,8,S,S,T,ETSCSWAP,44,0,0,0,3,2,630,1-3P,1324,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180629,20180626,20180629,107512149,333,Orange County,60465901,44522298,10001,Cox Business Internet,Base Code,2104,Cox Business Internet,IN,Install,P,N,W,Cb Installs,Unknown,1,0,1,1,0,1,0,0,0,72509,35448,JENNBURK,3,52,52,8, ,X,D,ETSCSWAP,44,0,0,0,3,2,630,1-3P,1324,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180628,20180627,20180628,107514754,333,Orange County,36329202,44524291,80012,Wall Fish,OTC - All,1104,Business TV - All,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,3,3,6,1,0,0,0,51114,31016,BBURDIC,3,58,58,4,S,S,C,ETSCSWAP,50,0,0,0,3,2,431,1-3P,1309,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180621,20180621,20180621,107461897,333,Orange County,51067802,44493070,11919,Pre-work (All),Data Other Products,2103,Commercial Data - Other,SR,Sro,P,N,W,Cb Installs,Field,1,0,2,2,8,1,0,0,0,87736,70003,N1JSTRAU,3,21,21,3,S,S,D,ETSCSWAP,16,0,0,0,1,1,815,CMRCL,1036,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
