,Customer Facing Flag,DCV Ind,DTV Ind,Drive Time Points,Dwelling Type,Employee Type Code,HC Equipment Passed,HC Equipment,Job Type,Labor Type,Points,Q Code,Region,Service Call Ind,Site,Survey Response Value,Truck Roll Ind,Verified Vendor,Work Order Class,Work Order Type,New Time
352,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,172.0
362,N,0,0,3,Non-Residential,5I,0,0,Install,In House,74,I,California,0,San Diego,,1,N,*,Install,257.00000000000006
455,N,0,0,3,Non-Residential,5I,1,1,Install,In House,61,I,Central Region,0,Oklahoma City,,1,N,H,Install,258.00000000000006
470,N,0,0,2,Non-Residential,5I,0,0,Install,In House,41,I,Central Region,0,Oklahoma City,,1,N,*,Install,110.0
519,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,California,0,San Diego,,1,N,H,Sro,13.0
608,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,California,0,San Diego,,1,N,H,Sro,349.0
629,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,213.0
644,N,0,0,2,Non-Residential,5I,1,1,Install,In House,65,I,Southeast Region,0,Pensacola,,1,N,*,Install,320.0
714,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,26,I,Southeast Region,0,Pensacola,,1,N,H,Sro,86.0
716,N,0,0,2,Non-Residential,5I,1,1,Install,In House,61,I,Southeast Region,0,Pensacola,,1,N,H,Install,321.0
1079,N,0,0,2,Non-Residential,5I,2,2,Install,In House,53,I,Northeast Region,0,Connecticut,,1,N,*,Install,276.0
1185,Y,0,0,3,Non-Residential,5I,4,4,Trouble Call,In House,16,K,Central Region,1,Omaha/Sun Valley,,1,N,H,Trouble Call,236.0
1354,N,0,0,3,Non-Residential,5I,0,0,Install,In House,60,I,California,0,San Diego,,1,N,H,Install,280.0
1363,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,California,0,San Diego,,1,N,H,Sro,131.00000000000003
1380,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,55,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
1411,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,14.0
1475,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,California,0,San Diego,,1,N,*,Sro,162.0
1489,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,17,I,California,0,San Diego,,1,N,H,Sro,32.00000000000001
1506,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,California,0,San Diego,,1,N,H,Sro,74.0
1530,N,0,0,2,Non-Residential,5I,0,0,Install,In House,12,I,Southeast Region,0,Pensacola,,1,N,H,Upgrade,80.0
1584,N,0,0,2,Non-Residential,5I,4,4,Install,In House,37,I,Southeast Region,0,Pensacola,,1,N,H,Install,208.0
1585,N,0,0,2,Non-Residential,5I,0,0,Install,In House,53,I,Southeast Region,0,Pensacola,,1,N,*,Install,261.00000000000006
1594,N,0,0,3,Non-Residential,5I,0,0,Install,In House,39,I,Southeast Region,0,Pensacola,,1,N,H,Upgrade,202.0
1611,Y,0,0,2,Non-Residential,5I,3,3,Trouble Call,In House,15,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,343.0
1792,Y,0,0,3,Non-Residential,5I,4,4,Trouble Call,In House,16,K,Central Region,1,Omaha/Sun Valley,,1,N,H,Trouble Call,245.00000000000003
2529,N,0,0,3,MDU,5I,0,0,Install,In House,26,I,Central Region,0,Oklahoma City,,1,N,H,Upgrade,37.0
2531,N,0,0,3,Non-Residential,5I,0,0,Install,In House,60,I,Central Region,0,Oklahoma City,,1,N,H,Install,259.00000000000006
2566,N,0,0,2,Non-Residential,5I,0,0,Install,In House,29,I,Southeast Region,0,Greater Louisiana,,1,N,H,Downgrade,72.0
2573,Y,0,0,2,Non-Residential,5I,0,0,Install,In House,49,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,182.0
2574,N,0,0,2,Non-Residential,5I,1,1,Install,In House,69,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,327.0
2613,Y,0,0,2,Non-Residential,5I,2,2,Trouble Call,In House,15,K,Southeast Region,1,Gainesville/Ocala,,1,N,H,Trouble Call,387.0
2664,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Southeast Region,0,Gainesville/Ocala,,1,N,H,Sro,3.0
2845,N,0,0,2,Non-Residential,5I,1,1,Install,In House,65,I,Southeast Region,0,Macon,,1,N,*,Install,396.0
2873,N,0,0,3,MDU,5I,1,1,Install,In House,104,I,Northeast Region,0,Rhode Island,,1,N,*,Install,381.0
2885,N,0,0,3,Non-Residential,5I,0,0,Install,In House,69,I,Northeast Region,0,Rhode Island,,1,N,H,Install,32.00000000000001
2959,N,0,0,2,Non-Residential,5I,1,1,Install,In House,52,I,Northeast Region,0,Connecticut,,1,N,*,Install,175.0
2980,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,42,I,Northeast Region,0,Connecticut,,1,N,H,Sro,174.0
2981,N,0,0,2,Non-Residential,5I,1,1,Install,In House,48,I,Northeast Region,0,Connecticut,,1,N,H,Install,263.00000000000006
2998,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,22,I,Northeast Region,0,Connecticut,,1,N,H,Sro,163.0
3021,N,0,0,2,Non-Residential,5I,0,2,Install,In House,54,I,Southwest Region,0,Phoenix,,1,N,H,Install,313.0
3030,N,0,0,2,Non-Residential,5I,2,2,Install,In House,79,I,Southwest Region,0,Phoenix,,1,N,H,Install,349.0
3035,N,0,0,2,Non-Residential,5I,0,0,Install,In House,55,I,Southwest Region,0,Phoenix,,1,N,H,Install,1.0000000000000002
3045,N,0,0,2,Non-Residential,H3,0,0,SRO,Contractor,132,I,Southwest Region,0,Phoenix,,1,Y,H,Sro,317.0
3087,N,0,0,2,Non-Residential,5I,3,3,Install,In House,59,I,Southwest Region,0,Phoenix,,1,N,*,Install,204.0
3088,N,0,0,2,Non-Residential,5I,2,2,Install,In House,42,I,Southwest Region,0,Phoenix,,1,N,H,Install,154.0
3229,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,35,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,141.0
3230,N,0,0,3,Non-Residential,5I,2,2,Install,In House,55,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Install,391.0
3278,N,0,0,3,Non-Residential,5I,0,0,Install,In House,48,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Install,297.0
3318,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,92.0
3361,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Central Region,1,Omaha/Sun Valley,,1,N,H,Trouble Call,366.0
3363,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,30.0
3432,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,Southeast Region,0,Pensacola,,1,N,H,Sro,174.0
3449,Y,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,Southeast Region,0,Pensacola,,1,N,*,Sro,41.0
3464,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Southeast Region,0,Pensacola,,1,N,H,Sro,71.0
3482,N,0,0,3,Non-Residential,5I,3,3,Install,In House,60,I,Southeast Region,0,Pensacola,,1,N,*,Install,212.0
3666,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,Southeast Region,0,Pensacola,,1,N,H,Sro,37.0
3772,N,0,0,2,Non-Residential,5I,3,3,Install,In House,39,I,Southeast Region,0,Macon,,1,N,H,Install,363.0
3801,N,0,0,2,Non-Residential,5I,3,3,Install,In House,47,I,Southeast Region,0,Macon,,1,N,*,Install,16.000000000000004
3829,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,Southeast Region,0,Macon,,1,N,H,Sro,7.0
3885,N,0,0,3,Non-Residential,5I,0,0,Install,In House,19,I,Northeast Region,0,Connecticut,,1,N,H,Upgrade,197.0
3938,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,Northeast Region,0,Connecticut,,1,N,H,Sro,147.0
3949,N,0,0,3,Non-Residential,5I,0,0,Install,In House,41,I,Northeast Region,0,Connecticut,,1,N,H,Install,365.0
3983,N,0,0,3,Non-Residential,5I,0,0,Install,In House,37,I,Northeast Region,0,Connecticut,,1,N,H,Upgrade,191.0
4392,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,27.0
4394,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,179.0
4440,Y,0,0,3,MDU,5I,2,2,Trouble Call,In House,16,K,Central Region,1,Omaha/Sun Valley,,1,N,H,Trouble Call,369.0
4487,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,107.0
4544,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Install,204.0
4547,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,Central Region,0,Omaha/Sun Valley,,1,N,*,Install,113.0
4550,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,Central Region,0,Omaha/Sun Valley,,1,Y,H,Sro,235.0
4555,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,31,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,200.0
4579,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,97.0
4586,Y,0,0,3,Non-Residential,5I,2,2,Trouble Call,In House,16,K,Central Region,1,Omaha/Sun Valley,,1,N,H,Trouble Call,387.0
4619,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,Central Region,0,Omaha/Sun Valley,,1,N,H,Sro,138.0
4678,N,0,0,2,Non-Residential,5I,0,0,Install,In House,46,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,241.0
4695,N,0,0,5,Non-Residential,5I,0,0,Install,In House,45,I,Southeast Region,0,Greater Louisiana,,1,N,H,Upgrade,255.00000000000003
4720,N,0,0,2,Non-Residential,5I,1,1,Install,In House,37,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,195.0
4831,N,0,0,3,MDU,5I,0,0,SRO,In House,15,I,Southeast Region,0,Pensacola,,1,N,H,Sro,26.0
4892,N,0,0,3,Non-Residential,5I,0,0,Install,In House,88,I,Southeast Region,0,Pensacola,,1,N,*,Install,255.00000000000003
4894,N,0,0,3,Non-Residential,5I,0,0,Install,In House,102,I,Southeast Region,0,Pensacola,,1,N,*,Install,397.0
4963,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,388.0
5084,N,0,0,3,Non-Residential,5I,3,4,Install,In House,60,I,Southeast Region,0,Pensacola,,1,N,*,Install,302.0
5114,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,372.0
5266,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,377.0
5267,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,Southeast Region,0,Pensacola,,1,N,H,Sro,95.0
5272,N,0,0,3,Non-Residential,5I,1,1,Install,In House,34,I,Southeast Region,0,Pensacola,,1,N,*,Restart,109.0
5274,Y,0,0,3,Non-Residential,5I,3,3,Trouble Call,In House,16,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,362.0
5288,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,385.0
5390,N,0,0,3,Non-Residential,5I,3,3,Install,In House,78,I,Southeast Region,0,Pensacola,,1,N,*,Install,388.0
5417,Y,0,0,3,MDU,5I,3,3,Trouble Call,In House,16,K,Southeast Region,1,Pensacola,,1,N,H,Trouble Call,353.0
5457,N,0,0,3,Non-Residential,5I,3,3,Install,In House,38,I,Northeast Region,0,Connecticut,,1,N,H,Install,3.0
5677,N,0,0,3,Non-Residential,5I,0,0,Install,In House,60,I,Northeast Region,0,Connecticut,,1,N,*,Install,337.0
5839,Y,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,California,0,San Diego,,1,N,*,Sro,133.00000000000003
5846,N,0,0,3,Non-Residential,5I,0,0,Install,In House,13,I,California,0,San Diego,,1,N,H,Downgrade,33.00000000000001
5909,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,California,1,San Diego,,1,N,H,Trouble Call,287.0
5936,N,0,0,3,Non-Residential,5I,2,2,Install,In House,38,I,California,0,San Diego,,1,N,H,Install,136.00000000000003
5937,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,California,0,San Diego,,1,N,*,Install,360.0
5964,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,103,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
6060,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,California,1,San Diego,,1,N,H,Trouble Call,332.0
6229,N,0,0,3,Non-Residential,5I,0,0,Install,In House,47,I,California,0,San Diego,,1,N,H,Install,172.0
6419,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,California,0,San Diego,,1,N,H,Sro,114.0
6478,N,0,0,3,Non-Residential,5I,0,0,Install,In House,55,I,California,0,San Diego,,1,N,H,Upgrade,332.0
6677,N,0,0,3,Non-Residential,5I,2,2,Install,In House,52,I,Southwest Region,0,Phoenix,,1,N,H,Install,291.0
6678,N,0,0,3,Non-Residential,5I,0,0,Install,In House,73,I,Southwest Region,0,Phoenix,,1,N,H,Upgrade,333.0
6680,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,Southwest Region,0,Phoenix,,1,N,*,Install,365.0
6694,N,0,0,3,Non-Residential,5I,0,0,Install,In House,88,I,Southwest Region,0,Phoenix,,1,N,H,Install,374.0
6708,N,0,0,3,Non-Residential,5I,2,2,Install,In House,42,I,Southwest Region,0,Phoenix,,1,N,H,Install,166.0
6732,N,0,0,2,Non-Residential,5I,5,5,Install,In House,65,I,California,0,San Diego,,1,N,H,Install,249.00000000000003
6736,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,67,I,California,0,San Diego,,1,N,H,Sro,374.0
6783,N,0,0,2,Non-Residential,5I,0,0,Install,In House,53,I,California,0,San Diego,,1,N,*,Install,222.0
6820,Y,0,0,2,Non-Residential,5I,1,1,Install,In House,65,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,81.0
6821,N,0,0,2,Non-Residential,5I,0,0,Install,In House,93,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,221.0
6896,N,0,0,3,Non-Residential,5I,0,0,Install,In House,9,I,Southwest Region,0,Las Vegas,,1,N,H,Downgrade,32.00000000000001
6994,N,0,0,2,Non-Residential,5I,0,0,Install,In House,53,I,Southwest Region,0,Las Vegas,,1,N,*,Install,119.0
6995,N,0,0,3,Non-Residential,5I,0,0,Install,In House,69,I,Southwest Region,0,Las Vegas,,1,N,H,Install,352.0
6996,N,0,0,2,Non-Residential,H3,0,0,SRO,Contractor,102,I,Southwest Region,0,Las Vegas,,1,Y,H,Sro,321.0
7011,Y,0,0,2,Non-Residential,5I,1,1,Install,In House,94,I,Central Region,0,Oklahoma City,,1,N,*,Install,168.0
7094,N,0,0,2,Non-Residential,5I,3,3,Install,In House,71,I,Central Region,0,Oklahoma City,,1,N,*,Install,304.0
7096,N,0,0,2,Non-Residential,5I,3,3,Install,In House,51,I,Central Region,0,Oklahoma City,,1,N,H,Install,271.00000000000006
7097,N,0,0,2,Non-Residential,5I,0,0,Install,In House,71,I,Central Region,0,Oklahoma City,,1,N,*,Install,187.0
7119,Y,0,0,2,Non-Residential,5I,0,0,SRO,In House,28,I,Central Region,0,Oklahoma City,,1,N,*,Sro,87.0
7124,N,0,0,2,MDU,5I,0,0,SRO,In House,18,I,Central Region,0,Oklahoma City,,1,N,H,Sro,79.0
7129,N,0,0,2,Non-Residential,5I,1,1,Install,In House,39,I,Central Region,0,Oklahoma City,,1,N,H,Install,167.0
7153,N,0,0,3,Non-Residential,5I,2,2,Install,In House,51,I,Central Region,0,Oklahoma City,,1,N,H,Install,254.00000000000003
7197,N,0,0,2,Non-Residential,5I,0,0,Install,In House,58,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,290.0
7205,N,0,0,2,Non-Residential,5I,0,0,Install,In House,12,I,Southeast Region,0,Greater Louisiana,,1,N,H,Upgrade,76.0
7217,N,0,0,2,Non-Residential,5I,3,3,Install,In House,37,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,251.00000000000003
7221,N,0,0,2,Non-Residential,5I,3,3,Install,In House,57,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,105.0
7236,N,0,0,2,Non-Residential,5I,2,2,Install,In House,37,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,158.0
7239,N,0,0,2,Non-Residential,5I,4,5,Install,In House,42,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,125.00000000000001
7242,N,0,0,2,Non-Residential,5I,1,1,Install,In House,52,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,255.00000000000003
7243,N,0,0,2,Non-Residential,5I,4,4,Install,In House,42,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,208.0
7275,N,0,0,2,Non-Residential,5I,4,4,Install,In House,61,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,389.0
7276,N,0,0,2,Non-Residential,5I,0,0,Install,In House,59,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,377.0
7345,N,0,0,3,Non-Residential,5I,0,0,Install,In House,38,I,Virginia,0,Northern Virginia,,1,N,H,Install,172.0
7450,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,Northeast Region,0,Rhode Island,,1,N,H,Sro,57.0
7517,Y,0,0,3,Non-Residential,5I,2,2,Trouble Call,In House,16,K,Northeast Region,1,Rhode Island,,1,N,H,Trouble Call,295.0
7551,N,0,0,2,Non-Residential,5I,0,1,Install,In House,71,I,Northeast Region,0,Rhode Island,,1,N,*,Install,353.0
7552,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,38,I,Northeast Region,0,Rhode Island,,1,N,H,Sro,123.00000000000001
7566,N,0,0,3,Non-Residential,H5,0,0,Install,In House,89,I,Southwest Region,0,Phoenix,,1,N,H,Upgrade,268.00000000000006
7575,N,0,0,3,Non-Residential,H5,0,0,Install,In House,13,I,Southwest Region,0,Phoenix,,1,N,H,Upgrade,142.0
7587,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Southwest Region,0,Phoenix,,1,N,H,Install,180.0
7647,N,0,0,3,Non-Residential,5I,3,3,Install,In House,52,I,Southwest Region,0,Phoenix,,1,N,H,Install,135.00000000000003
7652,N,0,0,3,Non-Residential,5I,0,0,Install,In House,54,I,Southwest Region,0,Phoenix,,1,N,*,Install,191.0
7782,N,0,0,2,Non-Residential,5I,4,4,Install,In House,53,I,California,0,San Diego,,1,N,*,Install,198.0
7789,N,0,0,2,Non-Residential,5I,3,3,Install,In House,65,I,California,0,San Diego,,1,N,*,Install,346.0
7790,N,0,0,2,Non-Residential,5I,3,3,Install,In House,62,I,California,0,San Diego,,1,N,H,Install,318.0
7802,N,0,0,2,Non-Residential,5I,2,2,Install,In House,38,I,California,0,San Diego,,1,N,H,Install,345.0
7829,N,0,0,2,Non-Residential,5I,0,0,Install,In House,52,I,California,0,San Diego,,1,N,*,Install,3.0
7840,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,10,I,California,0,San Diego,,1,N,H,Sro,21.0
7886,N,0,0,2,Non-Residential,5I,0,0,Install,In House,49,I,California,0,San Diego,,1,N,*,Install,44.0
8001,N,0,0,2,Non-Residential,5I,1,1,Install,In House,41,I,Virginia,0,Northern Virginia,,1,N,*,Install,279.0
8226,Y,0,0,2,Non-Residential,5I,1,1,Install,In House,71,I,Virginia,0,Hampton Roads,,1,N,*,Install,345.0
8459,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,35,I,California,0,San Diego,,0,N,H,Sro,182.0
8460,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,95,I,California,0,San Diego,,1,N,H,Sro,400.0
8534,N,0,0,2,Non-Residential,5I,0,0,Install,In House,69,I,Northeast Region,0,Rhode Island,,1,N,H,Install,204.0
8543,N,0,0,2,Non-Residential,5I,3,3,Install,In House,65,I,Northeast Region,0,Rhode Island,,1,N,*,Install,246.00000000000003
8556,N,0,0,2,Non-Residential,5I,1,1,Install,In House,79,I,Northeast Region,0,Rhode Island,,1,N,*,Restart,396.0
8616,N,0,0,3,Non-Residential,5I,0,0,Install,In House,19,I,Virginia,0,Hampton Roads,,1,N,H,Upgrade,99.0
8687,N,0,0,3,Non-Residential,5I,1,1,Install,In House,66,I,Virginia,0,Hampton Roads,,1,N,*,Install,351.0
8830,N,0,0,3,Non-Residential,5I,0,0,Install,In House,86,I,Central Region,0,Oklahoma City,,1,N,*,Install,397.0
9641,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,51.0
9648,N,0,0,3,Non-Residential,H3,2,2,Install,Contractor,66,I,Southeast Region,0,Greater Louisiana,,1,Y,*,Install,137.0
9728,N,0,0,3,Non-Residential,5I,1,1,Install,In House,38,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,116.0
9733,Y,0,0,3,Non-Residential,5I,1,1,SRO,In House,51,I,Southeast Region,0,Greater Louisiana,,1,N,*,Sro,227.0
9787,Y,0,0,3,Non-Residential,5I,9,9,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,276.0
9866,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,177.0
9882,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,380.0
9916,N,0,0,3,Non-Residential,5I,2,2,Install,In House,56,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,310.0
9917,N,0,0,3,Non-Residential,H3,0,0,SRO,Contractor,23,I,Southeast Region,0,Greater Louisiana,,1,Y,H,Sro,69.0
9920,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,49.0
9970,Y,0,0,3,Non-Residential,5I,0,0,Trouble Call,In House,16,K,Southeast Region,1,Greater Louisiana,,1,N,H,Trouble Call,394.0
10211,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,67,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,257.00000000000006
10230,N,0,0,2,Non-Residential,5I,1,1,Install,In House,37,I,Southeast Region,0,Greater Louisiana,,1,N,H,Install,362.0
10231,N,0,0,2,Non-Residential,5I,0,0,Install,In House,59,I,Southeast Region,0,Greater Louisiana,,1,N,*,Install,159.0
10372,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,Southeast Region,0,Greater Louisiana,,1,N,H,Sro,308.0
10524,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,10,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Sro,3.0
10527,N,0,0,2,MDU,5I,0,0,Install,In House,30,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Upgrade,128.00000000000003
10528,N,0,0,2,Non-Residential,H5,2,2,Install,In House,61,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,188.0
10529,N,0,0,2,Non-Residential,H5,2,2,Install,In House,65,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,191.0
10539,N,0,0,2,Non-Residential,5I,1,1,Install,In House,61,I,Central Region,0,Kansas/NW Arkansas,,1,N,H,Install,270.00000000000006
10540,Y,0,0,2,Non-Residential,5I,1,1,Install,In House,77,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,367.0
10542,Y,0,0,2,Non-Residential,H5,1,1,Install,In House,82,I,Central Region,0,Kansas/NW Arkansas,,1,N,*,Install,224.0
10860,Y,0,0,3,Non-Residential,5I,4,4,Trouble Call,In House,16,K,Southeast Region,1,Gainesville/Ocala,,1,N,H,Trouble Call,340.0
10968,Y,0,0,3,Non-Residential,5I,2,2,Trouble Call,In House,16,K,Southeast Region,1,Gainesville/Ocala,,1,N,H,Trouble Call,379.0
10988,Y,0,0,3,Non-Residential,5I,1,1,Trouble Call,In House,16,K,Southeast Region,1,Gainesville/Ocala,,1,N,H,Trouble Call,379.0
11100,N,0,0,3,Non-Residential,5I,0,0,Install,In House,27,I,Southeast Region,0,Gainesville/Ocala,,1,N,*,Downgrade,86.0
11262,N,0,0,3,Non-Residential,5I,2,2,Install,In House,54,I,Southeast Region,0,Macon,,1,N,*,Install,239.0
11339,N,0,0,2,Non-Residential,5I,2,2,Install,In House,37,I,Southwest Region,0,Las Vegas,,1,N,H,Install,194.0
11351,N,0,0,2,Non-Residential,5I,3,3,Install,In House,44,I,Southwest Region,0,Las Vegas,,1,N,H,Install,395.0
11352,N,0,0,2,Non-Residential,5I,0,0,Install,In House,77,I,Southwest Region,0,Las Vegas,,1,N,*,Install,30.0
11396,N,0,0,2,Non-Residential,5I,0,0,Install,In House,59,I,Southwest Region,0,Las Vegas,,1,N,*,Install,122.00000000000001
11406,N,0,0,2,Non-Residential,5I,0,0,Install,In House,65,I,Southwest Region,0,Las Vegas,,1,N,*,Install,286.0
11416,N,0,0,2,Non-Residential,5I,2,2,Install,In House,37,I,Southwest Region,0,Las Vegas,,1,N,H,Install,238.0
11417,N,0,0,2,Non-Residential,5I,0,0,Install,In House,71,I,Southwest Region,0,Las Vegas,,1,N,*,Install,356.0
11423,N,0,0,2,Non-Residential,5I,2,3,Install,In House,65,I,California,0,San Diego,,1,N,*,Install,314.0
11473,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,26,I,California,0,San Diego,,1,N,H,Sro,195.0
11486,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,18,I,California,0,San Diego,,1,N,H,Sro,44.0
11493,N,0,0,2,Non-Residential,5I,0,0,Install,In House,65,I,California,0,San Diego,,1,N,*,Install,311.0
11572,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,14,I,California,0,San Diego,,1,N,H,Sro,20.0
11574,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,14,I,California,0,San Diego,,1,N,H,Sro,131.00000000000003
11604,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,9,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
11614,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
11632,N,0,0,3,Non-Residential,5I,0,0,Install,In House,99,I,California,0,San Diego,,0,N,H,Install,1.0000000000000002
11649,N,0,0,3,Non-Residential,5I,0,0,Install,In House,13,I,California,0,San Diego,,1,N,H,Upgrade,124.00000000000001
11650,N,0,0,3,Non-Residential,5I,0,0,Install,In House,13,I,California,0,San Diego,,1,N,*,Downgrade,47.0
11653,N,0,0,3,Non-Residential,5I,2,2,Install,In House,72,I,California,0,San Diego,,1,N,*,Install,296.0
11678,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,15,I,California,0,San Diego,,1,N,H,Sro,68.00000000000001
